id_solicitacao,data_solicitacao,idade,renda_mensal,anos_emprego,score_credito,valor_emprestimo,taxa_juros_anual,prazo_meses,finalidade,regiao,situacao_moradia,divida_existente,contas_abertas,atrasos_12m,aprovado,inadimplente
30,2024-04-11,46.0,27429.7,14,700.0,34794.18,18.74,24,Reforma,Sul,Própria,37492.14,3,0,1,0
31,2023-10-09,39.0,21845.24,4,640.0,26761.02,17.09,48,Consolidação de dívidas,Norte,Alugada,55952.0,3,0,1,0
32,2022-01-21,39.0,10719.31,0,495.0,76198.45,9.45,36,Educação,Nordeste,Alugada,1320.82,3,1,0,0
33,2024-04-20,41.0,8611.33,0,530.0,28434.79,22.62,48,Saúde,Sul,Alugada,43040.75,6,0,0,0
34,2022-06-16,,35025.93,4,648.0,35745.43,17.99,36,Saúde,Sul,Alugada,63538.28,7,0,1,0
35,2023-01-23,26.0,8507.35,2,627.0,43732.2,26.97,48,Cartão de crédito,Nordeste,Própria,44258.54,1,0,1,0
36,2023-08-24,26.0,15571.4,12,643.0,33459.75,19.16,48,Cartão de crédito,Sudeste,Própria,2700.23,6,1,1,0
37,2022-11-12,45.0,15877.82,4,626.0,15803.95,16.45,36,Reforma,Sudeste,Alugada,54769.89,9,0,1,0
38,2022-01-14,27.0,13426.72,5,571.0,17078.4,14.3,48,Saúde,Sul,Alugada,24706.25,6,0,0,0
39,2022-08-30,28.0,19745.32,0,553.0,14654.38,27.48,36,Viagem,Sul,Própria,35800.29,3,2,0,0
40,2024-02-16,40.0,8389.32,3,590.0,13018.88,23.94,36,Reforma,Nordeste,Alugada,43737.25,5,0,1,0
41,2023-07-19,33.0,35120.23,2,702.0,31265.16,19.33,24,Educação,Sudeste,Outros,51325.19,7,1,1,0
42,2024-06-16,32.0,8846.18,6,592.0,53219.0,23.65,24,Viagem,Sudeste,Alugada,10259.83,4,0,1,0
43,2022-04-02,31.0,12432.05,2,722.0,39929.84,20.02,48,Viagem,Sudeste,Própria,26153.21,3,4,1,1
44,2024-08-13,18.0,6508.81,18,577.0,39636.03,7.13,60,Cartão de crédito,Sul,Própria,30171.3,10,1,0,0
45,2023-05-24,27.0,22540.22,5,732.0,15304.53,23.65,48,Saúde,Sudeste,Alugada,9370.99,7,1,1,0
46,2024-02-15,46.0,34339.63,5,613.0,35284.89,22.2,48,Educação,Sul,Própria,39145.56,5,1,1,0
47,2022-02-04,31.0,36463.64,12,628.0,35997.5,11.44,48,Saúde,Sudeste,Alugada,20365.36,10,1,1,0
48,2022-07-25,18.0,23561.29,26,629.0,67613.4,21.52,60,Educação,Centro-Oeste,Alugada,26540.94,3,1,1,0
49,2024-10-22,26.0,11096.99,1,690.0,32384.88,12.98,36,Automóvel,Sul,Alugada,16171.65,10,0,1,0
50,2024-10-18,39.0,13371.22,8,667.0,70002.02,15.44,48,Educação,Centro-Oeste,Própria,35462.89,11,1,1,1
51,2023-07-20,39.0,11367.89,0,659.0,28813.13,18.91,36,Automóvel,Sudeste,Alugada,14450.67,6,0,1,0
52,2023-12-04,33.0,7283.92,3,644.0,34420.11,18.6,36,Cartao de credito,Nordeste,Alugada,24305.82,9,1,1,0
53,2023-02-06,29.0,11524.84,0,610.0,51056.43,17.51,36,Automóvel,Nordeste,Própria,25211.64,3,0,1,0
54,2023-12-31,23.0,21044.21,4,726.0,30875.31,8.27,24,Reforma,Sudeste,Alugada,15340.64,13,1,1,0
55,2022-06-11,39.0,8660.33,3,656.0,11696.85,18.28,24,Viagem,Sudeste,Hipotecada,0.0,15,2,1,0
56,2022-07-21,43.0,4270.59,4,690.0,15583.13,28.04,60,Educação,Sul,Hipotecada,37344.88,5,0,1,0
57,2024-09-22,,7140.22,5,664.0,673982.5,19.62,24,Cartão de crédito,Sul,Própria,24474.03,4,2,1,0
58,2022-09-27,26.0,20112.74,4,620.0,28423.75,16.93,48,Viagem,Sul,Alugada,18710.13,8,1,1,0
59,2024-03-26,48.0,5658.41,1,817.0,39422.28,22.14,60,Saúde,Nordeste,Outros,24434.53,7,1,1,0
60,2023-04-01,35.0,10551.3,9,736.0,14974.34,18.9,36,Educação,Nordeste,Hipotecada,40126.86,5,0,1,0
61,2024-10-13,36.0,11027.96,4,612.0,32437.71,15.47,48,Educação,Sul,Alugada,63802.29,8,2,1,0
62,2022-10-23,44.0,,3,793.0,55915.78,23.49,36,Automóvel,Sul,Própria,0.0,6,0,1,0
63,2023-12-21,,15022.47,21,714.0,9627.52,19.57,36,Automóvel,Sudeste,Própria,32671.47,2,0,1,0
64,2022-12-04,18.0,16319.39,1,573.0,30179.27,20.44,60,Educação,Sudeste,Própria,16510.39,7,1,0,0
65,2024-05-28,42.0,12402.59,3,711.0,30046.3,16.81,24,Consolidação de dívidas,Sudeste,Hipotecada,50741.6,5,3,1,0
66,2024-12-12,39.0,8330.97,5,679.0,32139.04,17.4,36,Educação,Sudeste,Alugada,1329.59,6,1,1,0
67,2024-03-02,32.0,20966.92,0,661.0,86184.36,22.79,24,Reforma,Centro-Oeste,Própria,26757.5,5,2,1,0
68,2022-08-05,41.0,5531.08,2,721.0,23289.36,14.97,36,Saúde,Sudeste,Hipotecada,22186.8,4,2,1,0
69,2024-02-03,43.0,19744.47,8,673.0,20763.36,31.92,48,Reforma,Sul,Hipotecada,4857.62,7,2,1,0
70,2022-07-07,22.0,23671.96,1,509.0,24440.6,14.46,60,Consolidação de dívidas,Sudeste,Hipotecada,13301.66,7,2,0,0
71,2023-01-15,36.0,42974.97,3,555.0,98938.45,14.35,36,Consolidação de dívidas,Sudeste,Hipotecada,19480.34,4,0,0,0
72,2023-05-08,18.0,9162.77,4,590.0,29355.15,24.21,24,Consolidação de dívidas,Sudeste,Própria,27721.84,10,0,1,0
73,2024-11-30,34.0,10096.1,5,789.0,36986.56,17.86,24,Reforma,Sudeste,Hipotecada,0.0,6,0,1,0
74,2022-01-15,32.0,13720.74,6,695.0,7615.83,21.59,60,Saúde,Sudeste,Própria,19918.52,6,0,1,0
75,2022-03-06,40.0,13218.44,10,687.0,28620.64,27.11,36,Cartão de crédito,Nordeste,Hipotecada,38750.0,8,0,1,0
76,2023-06-05,26.0,20278.4,2,657.0,24464.25,20.44,36,Saúde,Sudeste,Hipotecada,48867.96,3,1,1,0
77,2023-10-10,32.0,17347.99,6,585.0,28309.02,20.01,48,Cartão de crédito,Norte,Alugada,30698.6,8,1,1,0
78,2024-12-22,18.0,11204.37,6,,22538.14,14.69,24,Educação,Sudeste,Alugada,34841.65,2,0,0,0
79,2023-08-16,41.0,,1,719.0,13211.89,12.9,36,Viagem,Nordeste,Própria,2249.96,4,1,1,0
80,2023-01-27,35.0,21304.22,17,766.0,23158.01,8.77,24,Reforma,Sul,Própria,18905.04,5,1,1,0
81,2023-02-23,36.0,7093.27,10,697.0,61693.5,13.72,60,Educação,Sul,Alugada,2613.9,6,0,1,0
82,2022-10-16,22.0,11886.41,1,615.0,28799.35,15.15,36,Consolidação de dívidas,Nordeste,Alugada,21645.67,5,1,1,0
83,2023-01-14,39.0,17630.08,5,621.0,10015.54,13.54,36,Consolidação de dívidas,Sul,Própria,66322.02,9,0,1,0
84,2022-08-19,50.0,7837.43,6,698.0,14102.14,16.47,48,Reforma,Sudeste,Hipotecada,51309.98,2,1,1,0
85,2024-10-14,34.0,2274.51,2,641.0,31397.04,15.15,24,Automóvel,Nordeste,Própria,39251.64,2,0,1,0
86,2022-02-10,41.0,27537.07,9,638.0,15003.5,23.06,48,Reforma,Nordeste,Alugada,30722.67,7,0,1,0
87,2024-11-17,28.0,13223.67,5,612.0,30594.68,10.14,36,Reforma,Sul,Própria,20477.09,7,1,1,0
88,2022-05-15,35.0,7123.94,5,603.0,53506.98,23.94,36,Reforma,Sudeste,Hipotecada,36729.54,10,0,1,0
89,2022-07-20,22.0,21167.23,1,641.0,34885.19,22.09,36,Cartão de crédito,Nordeste,Própria,14160.1,4,0,1,0
90,2024-02-19,43.0,12038.27,2,539.0,15682.35,12.46,60,Automóvel,Sul,Alugada,63983.36,4,3,0,0
91,2024-07-18,37.0,7963.25,2,693.0,29553.76,10.35,48,Cartão de crédito,Sudeste,Própria,39946.0,9,1,1,0
92,2024-11-22,25.0,16072.49,6,519.0,40463.61,21.36,60,Consolidação de dívidas,Norte,Hipotecada,42448.3,9,1,0,0
93,2024-12-07,28.0,13708.57,4,724.0,18042.44,21.35,60,Saúde,Sudeste,Alugada,16122.22,4,0,1,0
94,2023-05-18,36.0,9832.08,0,613.0,14854.93,13.25,48,Saúde,Sudeste,Hipotecada,16705.65,8,2,1,0
95,2023-02-11,44.0,9092.39,1,641.0,25611.73,10.05,36,Automóvel,Sul,Própria,11690.79,4,1,1,0
96,2024-03-15,49.0,7997.87,3,689.0,63112.22,15.59,48,Consolidação de dívidas,Sudeste,Alugada,2508.06,4,1,1,0
97,2022-04-09,34.0,19298.37,6,629.0,15651.19,-1.26,36,Saúde,Sudeste,Outros,50044.54,5,1,1,0
98,2023-11-15,23.0,7156.83,6,598.0,21157.44,21.28,36,Educação,Sudeste,Própria,37314.2,3,0,1,0
99,2023-12-27,,8966.46,3,670.0,13975.87,14.2,60,Cartão de crédito,Centro-Oeste,Hipotecada,17555.89,6,1,1,1
100,2024-08-18,52.0,14052.8,0,803.0,17777.31,19.19,36,Consolidação de dívidas,Sudeste,Hipotecada,14147.04,8,0,1,0
101,2023-09-05,21.0,27707.04,1,705.0,25039.15,28.75,36,Reforma,Nordeste,Alugada,51312.7,3,0,1,0
102,2023-10-05,27.0,14277.64,1,596.0,24804.36,15.64,60,Educação,Centro-Oeste,Própria,34344.87,10,2,1,0
103,2024-10-25,41.0,,7,625.0,5919.24,22.07,48,Reforma,Sudeste,Própria,17395.56,9,0,1,0
104,2023-05-18,37.0,14060.22,0,616.0,23694.33,16.46,24,Saúde,Centro-Oeste,Hipotecada,45919.13,10,1,1,0
105,2024-02-06,31.0,,3,577.0,71013.77,15.34,24,Consolidação de dívidas,Sudeste,Alugada,59263.67,1,0,0,0
106,2023-02-02,37.0,35199.3,5,691.0,29095.27,27.16,48,Consolidação de dívidas,Sudeste,Própria,14598.87,6,1,1,1
107,2024-05-20,,,16,627.0,23515.55,14.67,48,Cartão de crédito,Sudeste,Hipotecada,17476.66,8,0,1,0
108,2024-03-05,,13453.85,35,672.0,19680.03,21.29,48,Saúde,Sul,Própria,21001.87,9,1,1,0
109,2023-01-28,34.0,14570.64,15,466.0,16186.09,19.89,36,Viagem,Nordeste,Alugada,30346.85,12,0,0,0
110,2022-07-26,,17411.83,6,698.0,28532.43,20.51,36,Viagem,Sul,Própria,24374.77,2,0,1,0
111,2024-11-04,33.0,14274.18,6,608.0,34488.65,21.76,48,Cartão de crédito,Sul,Alugada,0.0,5,1,1,0
112,2024-06-10,46.0,,7,579.0,70005.17,21.1,60,Reforma,Nordeste,Alugada,8524.22,10,1,0,0
113,2024-05-13,54.0,13312.41,9,,17892.67,14.62,36,Reforma,Sudeste,Alugada,27292.82,9,2,0,1
114,2024-01-13,27.0,45063.87,15,585.0,54896.21,15.41,24,Viagem,Norte,Própria,52171.2,6,0,1,0
115,2023-07-18,24.0,15629.91,2,620.0,53745.69,19.65,48,Reforma,Sudeste,Alugada,28863.45,5,0,1,0
116,2024-10-17,39.0,5139.01,2,712.0,21535.82,6.87,24,Automóvel,Sul,Hipotecada,41694.71,9,2,1,0
117,2022-04-06,24.0,10965.98,3,618.0,18001.64,20.2,48,Saúde,Sudeste,Hipotecada,31154.69,4,0,1,0
118,2023-04-30,24.0,13449.5,5,718.0,12217.0,14.54,36,Automóvel,Sul,Alugada,22115.76,4,1,1,0
119,2022-08-19,18.0,12452.95,7,670.0,27391.32,24.27,36,Educação,Sudeste,Própria,9241.99,8,1,1,0
120,2024-01-19,32.0,12910.3,10,777.0,22968.23,6.23,48,Automóvel,Sudeste,Alugada,31746.11,7,0,1,0
121,2023-06-25,35.0,,3,614.0,48504.25,20.79,36,Consolidação de dívidas,Sudeste,Própria,47171.86,10,2,1,0
122,2024-11-25,31.0,17228.25,2,678.0,32667.92,19.62,48,Reforma,Sul,Alugada,2198.15,4,0,1,0
123,2023-06-09,,15205.59,20,737.0,9044.52,18.93,36,Cartão de crédito,Sul,Própria,35294.8,8,0,1,0
124,2023-08-01,47.0,21489.34,1,694.0,25968.07,25.92,36,Saúde,Centro-Oeste,Alugada,14969.5,3,0,1,0
125,2023-11-13,53.0,6325.38,1,638.0,31845.22,18.09,36,Saúde,Sudeste,Alugada,31342.06,5,1,1,0
126,2023-07-11,36.0,11774.26,6,615.0,23700.15,19.51,60,Saúde,Nordeste,Própria,11663.95,7,0,1,0
127,2024-10-09,46.0,16599.6,0,513.0,43908.3,10.69,60,Educação,Sudeste,Alugada,27613.88,5,2,0,0
128,2023-10-08,38.0,15185.28,2,633.0,19723.52,18.77,36,Saúde,Sudeste,Própria,7961.24,1,3,1,1
129,2024-03-06,37.0,,1,585.0,47599.23,16.46,36,Consolidação de dívidas,Sudeste,Própria,42459.59,8,0,1,0
130,2024-11-17,31.0,10239.96,0,612.0,19829.92,16.37,36,Viagem,Sudeste,Alugada,25996.38,7,0,1,1
131,2022-07-09,18.0,8770.41,4,653.0,22435.41,8.41,48,Educação,Centro-Oeste,Outros,57198.79,4,0,1,0
132,2023-09-25,41.0,21770.98,2,540.0,78553.03,28.38,60,Reforma,Sudeste,Alugada,30492.73,8,0,0,0
133,2023-09-20,46.0,5291.98,3,580.0,13031.27,12.27,48,Cartão de crédito,Sul,Hipotecada,7020.63,9,1,0,0
134,2024-08-30,22.0,7039.08,1,677.0,28327.84,16.24,48,Reforma,Centro-Oeste,Própria,0.0,10,0,1,0
135,2023-12-11,35.0,16470.42,7,561.0,32579.31,9.08,48,Automóvel,Sul,Própria,50571.43,2,1,0,0
136,2023-10-11,44.0,17528.57,1,646.0,19169.04,9.31,24,Saúde,Sul,Hipotecada,14239.0,10,0,1,0
137,2022-11-14,32.0,6049.85,2,551.0,34819.2,9.41,60,Automóvel,Sudeste,Própria,7249.53,8,1,0,1
138,2023-11-15,46.0,18273.73,1,686.0,40337.34,27.3,36,Educação,Sul,Alugada,49199.85,5,2,1,0
139,2023-10-26,34.0,14621.56,2,695.0,31371.66,8.36,36,Reforma,Sul,Alugada,17170.79,6,1,1,0
140,2023-03-18,31.0,17289.1,3,,29952.51,14.56,48,Saúde,Sudeste,Alugada,41429.25,2,1,1,0
141,2023-07-18,47.0,13852.58,3,737.0,35872.89,15.6,60,Viagem,Sul,Outros,31348.92,5,2,1,0
142,2024-08-09,27.0,16526.75,17,669.0,17785.44,13.57,36,Educação,Norte,Hipotecada,0.0,3,1,1,0
143,2023-11-30,29.0,16814.79,11,526.0,19014.48,12.78,36,Reforma,Nordeste,Outros,36524.47,4,0,0,0
144,2022-04-23,27.0,16914.99,4,650.0,34697.56,15.42,36,Reforma,Sudeste,Própria,7490.05,10,2,1,0
145,2022-01-02,25.0,15093.7,0,682.0,21962.86,10.57,36,Educação,Sul,Alugada,2800.72,6,0,1,0
146,2023-10-04,37.0,12800.24,4,658.0,26167.48,23.59,48,Cartão de crédito,Sudeste,Própria,0.0,5,0,1,0
147,2022-08-08,31.0,12838.18,0,766.0,6713.98,27.34,48,Reforma,Sul,Alugada,4203.1,5,0,1,0
148,2024-05-04,,14989.17,6,740.0,38913.09,25.5,60,Saúde,Centro-Oeste,Própria,18567.83,8,1,1,0
149,2023-01-20,20.0,20185.24,2,651.0,55765.24,6.45,48,Automóvel,Nordeste,Hipotecada,26428.03,2,2,1,0
150,2024-12-12,25.0,35680.89,9,702.0,37671.46,6.04,36,Consolidação de dívidas,Sudeste,Alugada,27712.5,8,2,1,0
151,2023-12-31,36.0,17400.15,14,547.0,40993.0,8.58,36,Educação,Sudeste,Alugada,40894.91,6,0,0,0
152,2022-09-04,49.0,16134.32,2,663.0,44757.15,21.23,48,Cartão de crédito,Sul,Hipotecada,0.0,9,1,1,0
153,2024-04-15,39.0,24531.54,3,561.0,24304.74,14.87,48,Reforma,Centro-Oeste,Alugada,0.0,7,0,0,0
154,2022-07-22,30.0,16288.75,4,637.0,16484.88,32.38,24,Automóvel,Sul,Alugada,69674.32,8,0,1,0
155,2022-05-03,22.0,7862.38,1,602.0,35825.74,18.15,36,Viagem,Sudeste,Hipotecada,23972.91,3,0,1,0
156,2023-02-05,30.0,9258.85,13,604.0,48362.88,24.41,36,Cartão de crédito,Sul,Própria,34619.03,7,2,1,0
157,2024-02-06,35.0,33338.22,2,593.0,14822.43,24.51,36,Educação,Sudeste,Própria,0.0,3,0,1,0
158,2022-10-21,18.0,9351.42,0,621.0,39941.55,12.01,36,Reforma,Sudeste,Alugada,37273.4,4,1,1,0
159,2022-10-07,25.0,17766.57,7,609.0,31524.1,12.96,48,Viagem,Nordeste,Própria,43871.48,3,0,1,0
160,2024-06-02,29.0,8148.97,1,694.0,25315.32,27.27,36,Reforma,Sul,Alugada,0.0,9,0,1,0
161,2022-07-17,33.0,25390.92,0,631.0,23272.16,7.74,36,Consolidação de dívidas,Nordeste,Alugada,33786.63,6,1,1,0
162,2024-09-08,,10613.85,4,646.0,31260.58,17.04,48,Consolidação de dívidas,Sudeste,Alugada,33461.91,3,2,1,0
163,2024-01-22,30.0,,5,670.0,18891.82,22.18,36,Viagem,Sul,Própria,0.0,5,0,1,0
164,2022-05-24,40.0,11918.89,4,670.0,142116.12,20.86,36,Educação,Nordeste,Alugada,28283.67,7,0,1,0
165,2023-09-01,,17196.02,5,575.0,12956.54,15.62,48,Automóvel,Sudeste,Própria,13255.32,5,1,0,0
166,2022-07-06,32.0,14556.2,0,631.0,6628.92,15.37,24,Automóvel,Nordeste,Hipotecada,33292.74,11,1,1,0
167,2023-04-09,41.0,-5000.0,3,666.0,31582.52,10.45,36,Saúde,Sudeste,Hipotecada,37574.83,6,1,1,0
168,2023-10-22,41.0,18539.03,2,588.0,28255.67,12.48,36,Consolidação de dívidas,Sudeste,Alugada,33436.99,5,0,1,1
169,2024-02-03,22.0,15381.42,18,,36082.62,27.78,24,Consolidação de dívidas,Centro-Oeste,Alugada,19480.43,3,0,0,1
170,2024-08-12,35.0,18503.1,0,567.0,5591.75,19.22,24,Reforma,Sudeste,Própria,17206.1,5,0,0,0
171,2023-02-07,44.0,18961.86,1,664.0,9814.33,14.31,36,Educação,Norte,Alugada,28809.87,5,2,1,0
172,2022-05-27,45.0,10951.92,14,629.0,21060.01,21.71,36,Reforma,Nordeste,Própria,20345.24,12,1,1,0
173,2024-05-13,39.0,10542.24,20,639.0,43617.4,15.24,48,Saúde,Sudeste,Alugada,0.0,7,1,1,0
174,2023-05-04,33.0,29028.91,8,525.0,9905.96,11.44,48,Saúde,Norte,Alugada,28493.44,7,0,0,0
175,2024-07-17,39.0,19018.01,0,654.0,34431.51,14.5,48,Cartão de crédito,Sudeste,Própria,21715.08,4,1,1,0
176,2023-07-05,43.0,16353.54,4,658.0,23501.69,9.51,36,Reforma,Sul,Hipotecada,21686.22,6,0,1,0
177,2022-12-04,37.0,8947.78,2,668.0,29359.16,27.57,24,Educação,Sudeste,Outros,18573.74,9,2,1,0
178,2024-05-21,38.0,5463.67,8,750.0,26515.87,21.76,36,Cartão de crédito,Sudeste,Própria,21435.39,5,0,1,0
179,2023-10-03,,11541.05,0,596.0,26640.18,21.72,48,Viagem,Sudeste,Própria,13284.73,8,0,1,0
180,2023-04-18,23.0,10653.78,1,684.0,26574.55,14.76,36,Educação,Sudeste,Hipotecada,40422.61,5,0,1,0
181,2022-05-31,34.0,11439.61,3,673.0,49384.61,17.64,48,Consolidação de dívidas,Sudeste,Alugada,17151.01,8,2,1,0
182,2022-09-20,29.0,20464.12,0,681.0,27422.38,15.02,48,Saúde,Sul,Própria,26440.26,5,0,1,0
183,2022-05-24,29.0,28672.81,5,628.0,47080.9,9.52,36,Consolidação de dívidas,Sul,Hipotecada,12270.66,5,0,1,1
184,2022-12-12,48.0,,8,703.0,21116.51,23.41,48,Automóvel,Sudeste,Alugada,5296.15,5,0,1,0
185,2023-09-16,44.0,9868.88,6,598.0,49753.3,22.77,24,Consolidação de dívidas,Sudeste,Própria,22951.28,9,0,1,0
186,2024-10-13,20.0,17484.8,2,617.0,23627.23,20.39,48,Automóvel,Sudeste,Alugada,37177.1,8,1,1,0
187,2024-05-30,26.0,10470.74,10,637.0,23780.32,18.16,24,Educação,Sudeste,Hipotecada,43661.76,6,0,1,0
188,2022-01-02,,5321.15,0,633.0,673982.5,12.68,24,Educação,Sudeste,Alugada,37874.85,5,0,1,0
189,2024-06-15,30.0,12858.63,1,676.0,16374.58,20.0,60,Automóvel,Sudeste,Própria,7999.06,9,1,1,0
190,2022-09-11,38.0,,3,668.0,18291.89,12.16,48,Cartão de crédito,Sudeste,Própria,25998.9,7,2,1,0
191,2023-03-29,24.0,11301.07,0,668.0,9946.98,12.98,36,Automóvel,Sudeste,Hipotecada,23489.77,3,1,1,1
192,2024-11-26,44.0,20264.22,0,742.0,16736.38,12.2,48,Saúde,Sudeste,Alugada,38093.69,8,1,1,0
193,2024-10-11,35.0,9577.74,2,,39254.49,14.08,36,Reforma,Sudeste,Própria,34162.67,9,1,1,0
194,2022-01-09,32.0,18849.64,14,723.0,41693.43,13.49,36,Educação,Sudeste,Hipotecada,13742.83,6,0,1,0
195,2024-03-26,35.0,11827.71,11,575.0,10648.06,22.38,48,Cartão de crédito,Nordeste,Própria,31258.56,8,0,0,0
196,2022-07-27,32.0,28614.94,3,641.0,67129.63,11.92,36,Viagem,Sul,Própria,35283.41,5,1,1,0
197,2023-02-08,18.0,11422.48,0,645.0,42679.66,17.92,36,Saúde,Norte,Alugada,30917.71,4,1,1,0
198,2022-06-01,36.0,10186.38,0,558.0,84470.92,21.64,60,Reforma,Sudeste,Própria,24341.77,6,2,0,0
199,2022-02-23,33.0,27882.2,2,653.0,49443.11,25.28,36,Cartão de crédito,Sudeste,Hipotecada,13175.28,5,0,1,0
200,2023-09-20,27.0,10012.41,1,658.0,76158.89,20.3,24,Educação,Sul,Alugada,17764.8,7,1,1,0
201,2023-08-10,45.0,14859.82,0,691.0,33870.27,6.58,24,Cartão de crédito,Sudeste,Alugada,63958.01,8,1,1,1
202,2022-04-14,42.0,10048.55,5,683.0,17552.95,16.62,24,Saúde,Sudeste,Própria,3684.58,3,1,1,0
203,2022-09-11,,21206.19,4,,31061.32,22.29,36,Automóvel,Nordeste,Hipotecada,58875.77,7,2,0,0
204,2023-05-25,43.0,,1,733.0,7856.21,12.1,48,Educação,Sudeste,Outros,58741.63,5,0,1,0
205,2022-04-09,30.0,9535.11,7,617.0,24624.85,25.97,48,Reforma,Sul,Hipotecada,1592.36,6,0,1,1
206,2022-06-02,27.0,17556.32,7,607.0,26242.34,25.84,48,Viagem,Nordeste,Alugada,13798.23,3,1,1,1
207,2024-07-02,31.0,18390.3,3,684.0,45752.38,21.02,48,Consolidação de dívidas,Sudeste,Hipotecada,19460.42,9,1,1,0
208,2024-05-27,30.0,14229.89,0,,30148.41,23.73,36,Educação,Sudeste,Hipotecada,13919.94,2,2,1,1
209,2022-12-04,,28646.76,12,616.0,21105.49,25.26,36,Saúde,Nordeste,Própria,14095.34,10,1,1,0
210,2024-04-01,22.0,28538.61,5,646.0,12472.41,18.38,60,Consolidação de dívidas,Sul,Própria,37543.03,7,2,1,0
211,2024-08-14,41.0,8722.64,1,713.0,17785.21,23.27,36,Reforma,Sudeste,Própria,29603.78,6,1,1,1
212,2022-06-10,36.0,24448.62,4,584.0,23784.99,11.08,60,Saúde,Sul,Hipotecada,34900.42,5,0,1,0
213,2024-03-11,40.0,17211.07,2,454.0,18270.22,22.35,36,Educação,Sudeste,Própria,22232.3,9,0,0,0
214,2023-02-02,25.0,15093.26,5,687.0,6359.93,20.37,36,Cartão de crédito,Sul,Própria,20979.59,5,1,1,0
